WORD_LOWER;AROUSAL_MEAN
mieter;2,4
mietzins;2,8
mikado;2,6
mikrofon;2,8
milch;1,7
milchbar;1,8
mild;1,6
milieu;2,5
militant;3,6
miliz;3,7
million;3,3
mimik;3,3
mimose;2,5
minder;1,9
mine;3,1
minigolf;1,8
minimal;2,4
minimum;2,3
minirock;2,9
minister;2,3
minus;3,1
minute;2,3
mirakel;2,8
mischehe;2,8
missetat;3,2
mission;2,6
mist;3,2
mitgeben;1,8
mitgift;2,9
mitglied;2,2
mitleid;3,0
mittag;1,8
mitte;2,1
mittel;2,6
mode;3,1
moder;2,9
modern;2,8
mogeln;3,1
mögen;3,2
mohn;2,1
mohr;2,3
möhre;1,7
mokka;2,4
molch;2,3
moll;2,3
mollig;2,6
monarch;2,6
monat;2,1
mond;1,8
mondlos;1,4
monogam;2,0
monolog;2,1
monopol;2,9
monoton;1,8
monstrum;4,4
moor;2,8
moorbad;1,9
moos;1,9
moped;2,6
moral;2,6
moralist;2,7
morast;2,8
mord;4,4
morden;4,4
mordfall;4,2
mordtat;4,3
morphem;2,0
morsch;2,9
mörser;2,3
moskito;3,4
motiv;2,6
motor;2,8
motorrad;2,9
motte;3,1
motto;2,2
möwe;2,9
muffig;1,7
mühe;2,9
mumie;2,8
mundraub;3,4
munition;3,6
munkeln;2,6
munter;3,2
murmel;1,5
murren;2,1
muschel;2,2
musical;2,6
musik;1,9
musikbox;2,8
musiker;2,2
muskel;2,9
müssen;2,8
mustern;2,9
mut;3,7
mutation;3,5
mutig;3,3
mutlos;2,0
mutter;2,7
mutti;1,8
mystik;3,2
mystisch;2,3
mythos;3,0
nabel;2,3
nachbar;2,4
nachfolger;2,4
nachmittag;2,2
nachrede;3,2
nachricht;3,1
nachruf;2,6
nacht;2,9
nachteil;3,2
nachweisen;2,7
nackt;3,8
nadel;2,9
nagel;2,7
nah;2,5
nähe;2,3
nahrung;2,2
naiv;2,3
name;2,2
namenlos;1,8
namhaft;2,5
narbe;3,4
narbig;2,5
narkose;3,6
narr;2,7
naschen;2,7
nase;2,3
national;2,5
natter;3,7
natur;1,9
nazi;4,7
nazizeit;4,4
nebel;2,7
neblig;2,5
necken;2,8
neffe;2,2
negation;2,7
negativ;3,6
neger;3,5
negerin;3,4
nehmen;2,0
neid;3,6
neidisch;3,8
neidlos;1,5
neige;2,1
neigen;1,9
neigung;2,4
nein;3,3
nelke;1,8
nennen;2,0
nett;2,1
neubau;2,3
neugier;3,6
neurose;3,9
nichte;2,0
nicken;2,0
niederlage;3,7
niedlich;1,8
niemand;1,8
niere;2,7
niete;2,8
nikotin;3,2
niveau;2,1
